season,player_name,pos,posteam,defteam,game_id,week,game_date,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,interception,pass_yards,rush_yards,rec_yards,fanPts
1999,B.Coates,TE,NE,IND,1999_14_NE_IND,14,1999-12-12,0.0,0.0,0.0,34.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,3.4
1999,B.Coates,TE,NE,KC,1999_05_NE_KC,5,1999-10-10,0.0,0.0,0.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,1.8
1999,B.Coates,TE,NE,MIA,1999_06_MIA_NE,6,1999-10-17,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.8
1999,B.Coates,TE,NE,MIA,1999_11_NE_MIA,11,1999-11-21,0.0,0.0,0.0,27.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,2.7
1999,B.Coates,TE,NE,NYG,1999_03_NYG_NE,3,1999-09-26,0.0,0.0,0.0,33.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,3.3
1999,B.Coates,TE,NE,NYJ,1999_01_NE_NYJ,1,1999-09-12,0.0,0.0,0.0,51.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0,5.1
1999,B.Coates,TE,NE,NYJ,1999_10_NYJ_NE,10,1999-11-15,0.0,0.0,0.0,14.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,1.4
1999,B.Coates,TE,NE,PHI,1999_15_NE_PHI,15,1999-12-19,0.0,0.0,0.0,42.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,4.2
1999,B.Kinchen,TE,CAR,ATL,1999_12_ATL_CAR,12,1999-11-28,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.9
1999,B.Kinchen,TE,CAR,CIN,1999_03_CIN_CAR,3,1999-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
